,0
1905-10-17,-0.5437472583319063
1905-10-18,-0.4679721501547658
1905-10-19,-0.38640861018609607
1905-10-20,-0.2994612878569323
1905-10-21,-0.20458038695897413
1905-10-22,-0.09894746521556329
1905-10-23,0.018080216007367964
1905-10-24,0.1437811297369675
1905-10-25,0.27306796820844115
1905-10-26,0.39963336125168564
1905-10-27,0.5180949586936064
1905-10-28,0.6253203668842064
1905-10-29,0.7196473993047217
1905-10-30,0.79650662528856
1905-10-31,0.8456738945168795
1905-11-01,0.853898149224106
1905-11-02,0.8127665541698457
1905-11-03,0.7247188974295097
1905-11-04,0.6040004100927702
1905-11-05,0.4719217557314784
1905-11-06,0.34989191211949033
1905-11-07,0.2523370649804187
1905-11-08,0.18368538540138768
1905-11-09,0.13949059921834583
