date,0,1,2,3,4,5,6,7,8,9,10,11,rmm1,rmm2
2001-04-02,-110.83594,-100.88280999999999,132.70311999999998,-140.5,178.22656,-18.710938,-40.789062,30.796875,159.16406,5.390625,96.625,-21.25,-0.59353,-0.7418399999999999
2001-04-03,-78.83594000000001,-85.86719000000001,94.22655999999999,-124.17969,150.4375,-93.96094000000001,-5.328125,47.15625,151.64061999999998,6.8046875,57.8125,-51.335938,-0.28582001,-0.67623001
2001-04-04,-27.03125,-17.640625,44.679688,-100.625,104.00780999999999,-31.039062,19.0625,60.460938,108.13281,21.734375,84.55469000000001,-42.5,0.0480054989,-0.59021997
2001-04-05,-8.28125,-71.203125,127.72656,-62.9375,137.32811999999998,-38.289062,-54.328125,139.09375,131.27344,21.078125,179.13281,2.046875,0.22820900000000002,-0.73189002
2001-04-06,116.67969,-32.148438,197.11719,60.890625,145.40625,-31.453125,38.75,135.58594,190.08594,-13.65625,222.30469,55.921875,0.28166801,-0.56110001
2001-04-07,79.890625,10.546875,210.25781,-7.59375,64.39844000000001,14.640625,79.97655999999999,15.9765625,215.60938,28.578125,180.85156,24.046875,0.51091999,-0.35224
2001-04-08,-35.148438,-41.226562,107.921875,-163.50781,-41.164062,-44.132812,-33.898438,-30.34375,111.21875,79.92969000000001,151.04688000000002,-58.570312,0.62823403,-0.43683001
2001-04-09,66.91405999999999,-1.5,-13.3046875,-48.890625,-134.71094,-89.171875,8.96875,87.58594000000001,-2.3671875,-8.03125,35.710938,32.164062,0.583992,-0.38453001
2001-04-10,147.82811999999998,155.59375,1.953125,56.882812,-148.48438000000002,19.765625,167.08594,87.77344000000001,16.21875,-103.28125,-19.273438,60.0,0.31888199,-0.36186001
2001-04-11,101.125,136.10156,68.859375,70.97655999999999,-156.94531,60.726562,160.10938000000002,66.52344000000001,90.90625,-87.546875,-12.8671875,47.46875,-0.0736185014,-0.0738029033
2001-04-12,85.30469000000001,88.875,101.02344000000001,86.25780999999999,-115.984375,26.453125,115.65625,92.57030999999999,137.04688000000002,24.054688,24.539062,71.6875,-0.30355,0.0054524499
2001-04-13,176.94531,139.01561999999998,15.9140625,170.30469,-105.88281,2.0234375,232.17969,210.25,55.609375,35.359375,20.15625,167.75,-0.51389998,-0.0828960016
2001-04-14,246.28125,263.125,-31.359375,275.10938,-41.78125,101.546875,369.8047,214.9375,-3.1796875,-4.65625,-12.65625,188.63281,-0.91017997,0.24696700000000002
2001-04-15,192.32811999999998,269.21875,95.84375,166.92969,119.71094,215.42969,336.78125,60.523438,132.07031,-41.328125,67.0,87.60155999999999,-0.97637999,0.42801899
2001-04-16,72.58594000000001,159.78125,268.1328,6.765625,217.96094,194.89844,189.10938000000002,11.0,267.48438,49.695312,150.35156,-35.96875,-0.88739997,0.36429101
2001-04-17,9.0,70.64844000000001,263.60156,-117.69531,185.91406,136.41406,98.35155999999999,36.078125,291.8828,121.86719,131.10938000000002,-134.01561999999998,-0.50073999,0.15653399999999998
2001-04-18,-12.4921875,52.757812,40.179688,-161.0,80.14844000000001,69.53905999999999,50.210938,55.1875,175.96094,167.14844,67.08594000000001,-96.703125,-0.50212002,0.27944201
2001-04-19,-67.609375,33.757812,-24.226562,-218.51562,78.30469000000001,41.296875,5.6875,35.75,92.85155999999999,141.54688000000002,93.92969000000001,-81.90625,-0.31342,0.124492
2001-04-20,-145.69531,-62.3125,51.796875,-335.8125,233.92969,-10.6484375,-110.53125,-6.453125,122.49219,154.0,135.4375,-123.4375,-0.26216,0.112273
2001-04-21,-142.42969,-152.89061999999998,159.9375,-328.96094,262.71875,-87.22655999999999,-200.89844,-54.601562,143.55469,164.9375,132.16406,-145.625,0.101319,-0.033196300299999995
2001-04-22,-120.85156,-161.39844,146.90625,-142.0,161.74219,-99.984375,-160.96094,-28.109375,69.140625,139.82031,31.070312,-79.86719000000001,0.42723900000000004,-0.31501999
2001-04-23,-96.67969000000001,-117.03906,115.25,-98.78125,6.3046875,-44.75,-77.8125,-33.8125,-31.859375,56.945312,-47.054688,-64.27344000000001,0.52315998,-0.4711
2001-04-24,-68.5,-53.90625,142.25,-108.88281,47.554688,58.0,13.8359375,-74.921875,41.476562,-1.03125,46.710938,-97.41405999999999,0.51605999,-0.58091998
2001-04-25,-75.60155999999999,-63.164062,212.00781,-119.96875,94.10155999999999,70.484375,-13.6875,-73.08594000000001,145.75,0.1171875,108.94531,-101.828125,0.599989,-0.49039999
2001-04-26,-53.265625,-25.351562,211.71875,-61.828125,99.765625,30.671875,21.703125,-52.476562,132.03125,4.1015625,97.24219000000001,-68.80469000000001,0.87213701,-0.52572
