,0
1905-10-16,-0.5963923403604515
1905-10-17,-0.5617203611620672
1905-10-18,-0.49008399182591783
1905-10-19,-0.3769228701250504
1905-10-20,-0.22164157882310437
1905-10-21,-0.030433379637625796
1905-10-22,0.18015022618285426
1905-10-23,0.38473422858913503
1905-10-24,0.5578726022296436
1905-10-25,0.6843486024039217
1905-10-26,0.7636015612185634
1905-10-27,0.8071172807180904
1905-10-28,0.8324381806316916
1905-10-29,0.8557122757495336
1905-10-30,0.8835643133178793
1905-10-31,0.908794550415041
1905-11-01,0.9150440641734845
1905-11-02,0.8883545611873175
1905-11-03,0.8271439280119439
1905-11-04,0.7438660294478118
1905-11-05,0.6577015231116493
1905-11-06,0.5830479238349956
1905-11-07,0.5217177724765036
1905-11-08,0.46470093432459486
1905-11-09,0.40161035283123386
