date,0,1,2,3,4,5,6,7,8,9,10,11
1946-04-01,191.00781,94.546875,-14.4765625,136.24219,-24.71875,73.86719000000001,-28.976562,116.703125,-25.4375,113.75,-168.61719,76.10155999999999
1946-04-02,107.96875,133.54688000000002,-75.94530999999999,106.59375,-31.21875,139.78906,43.171875,-60.25,-69.75780999999999,82.05469000000001,-135.71094,12.421875
1946-04-03,90.92969000000001,173.55469,-64.52344000000001,-41.96875,-19.789062,173.67188000000002,182.5,-110.21875,-114.109375,39.289062,-40.914062,39.75
1946-04-04,133.89844,166.58594,42.78125,-175.4375,-18.421875,174.53125,190.00781,-112.17969,-133.5,26.460938,-34.226562,69.10155999999999
1946-04-05,127.859375,183.61719,40.984375,-191.82031,-99.125,203.34375,113.69531,-91.140625,-85.92969000000001,46.5625,-34.664062,101.46094000000001
1946-04-06,147.82031,139.65625,16.0625,-39.117188,-237.89062,184.11719,40.554688,-63.09375,-88.40625,87.609375,-70.21875,69.83594000000001
1946-04-07,97.77344000000001,101.6875,-67.96875,68.671875,-234.73438,134.85156,47.601562,87.96875,-152.92188000000002,89.58594000000001,-178.89844,143.21875
1946-04-08,154.71875,134.71875,-177.125,290.53906,-121.64844,164.53906,135.8125,122.03906,-187.49219,79.5,-123.71094,226.60156
1946-04-09,91.65625,96.74219000000001,-96.39844000000001,262.48438,-13.6328125,195.17969,108.203125,73.140625,-137.10938000000002,51.351562,-155.65625,139.99219
1946-04-10,6.5703125,-0.2421875,-2.7890625,86.5,71.296875,159.77344,24.765625,-21.742188,-47.773438,-7.8515625,-173.74219,87.390625
1946-04-11,-8.53125,-92.25,52.695312,31.59375,76.15625,33.320312,-121.50781,-69.59375,37.507812,-60.117188,-176.96094,71.78125
1946-04-12,77.34375,29.71875,39.054688,95.75,62.945312,-16.195312,52.382812,-66.41405999999999,-7.2734375,-23.4375,-184.32031,137.16406
1946-04-13,120.19531,104.66405999999999,-29.710938,152.96094,27.648438,75.24219000000001,210.42969,-11.1953125,-81.109375,-52.804688,-103.83594000000001,147.54688000000002
1946-04-14,53.023438,127.578125,-37.601562,133.24219,112.265625,186.61719,211.625,24.054688,-136.0,7.765625,0.5,118.91406
1946-04-15,60.8125,42.460938,-24.625,47.570312,96.8125,70.9375,126.97656,119.35156,-135.96094,39.289062,-1.3125,99.28125
1946-04-16,80.578125,9.3046875,-28.765625,30.953125,-12.7265625,-28.804688,71.46875,228.6875,-90.97655999999999,24.765625,-115.28125,94.625
1946-04-17,112.296875,12.109375,-35.046875,103.38280999999999,-56.351562,-9.6015625,119.10156,210.0625,-88.07030999999999,26.195312,-205.40625,106.953125
1946-04-18,154.98438000000002,52.867188,-35.445312,187.85156,-66.046875,70.53125,225.85938,134.49219,-64.21875,62.578125,-140.69531,123.265625
1946-04-19,94.61719000000001,108.578125,-31.984375,233.35156,-128.83594,113.60156,261.7422,147.97656,-67.44530999999999,59.921875,-114.14844,114.546875
1946-04-20,96.21875,94.234375,-29.648438,67.88280999999999,-141.70311999999998,135.60938000000002,267.7422,153.50781,-37.742188,-5.7734375,-88.765625,62.8125
1946-04-21,93.75780999999999,112.83594,13.5625,-9.5625,-82.65625,104.546875,157.84375,16.09375,-23.117188,-36.507812,-123.546875,13.046875
1946-04-22,35.257812,23.375,9.640625,-21.984375,-68.6875,-59.585938,15.046875,-19.265625,-105.5625,3.7265625,-122.5,40.257812
1946-04-23,17.695312,-25.148438,-57.414062,-47.390625,-101.80469000000001,-118.78125,-41.65625,-14.5625,-172.08594,-43.078125,-166.61719,29.429688
1946-04-24,3.078125,-17.734375,-31.59375,-25.796875,-201.0,-94.046875,-40.28125,-9.8046875,-145.67969,-46.90625,-205.91406,-64.42969000000001
1946-04-25,10.40625,-22.382812,-29.898438,-0.1953125,-93.27344000000001,-10.3828125,-12.8359375,-35.984375,-28.359375,-2.7734375,-187.375,-53.328125
1946-04-26,-1.328125,-26.109375,38.664062,-30.59375,1.3671875,-31.789062,-22.328125,-57.109375,1.875,44.34375,-145.01561999999998,-62.265625
1946-04-27,-29.132812,-52.90625,15.1015625,-85.00780999999999,40.929688,-30.265625,-92.77344000000001,-55.164062,-20.960938,4.4375,-145.82031,-87.234375
1946-04-28,-107.0,-72.77344000000001,-27.578125,-108.42969,-24.585938,-36.804688,-151.17188000000002,-9.15625,-55.890625,-69.49219000000001,-141.80469,-110.25781
1946-04-29,-10.9296875,-61.71875,-29.390625,-282.875,-17.171875,-31.421875,-215.53906,1.90625,-86.89844000000001,-47.4375,-154.96094,-145.32031
1946-04-30,-54.929688,-53.742188,-114.32031,-511.35155999999995,-95.83594000000001,-4.109375,-227.89062,-41.960938,-143.99219,-123.39844,-158.28906,-163.42188000000002
1946-05-01,-7.0078125,-74.85155999999999,-135.375,-397.85938,-82.57030999999999,44.132812,-305.22656,15.234375,-179.16406,-110.375,-151.78906,-46.578125
1946-05-02,65.85155999999999,23.96875,-163.53906,-137.40625,-95.375,111.3125,-159.57031,119.5,-203.42969,-56.359375,-123.46094,57.21875
1946-05-03,74.63280999999999,89.703125,-78.828125,83.0,-93.25,157.42188000000002,-104.92969,56.828125,-162.78125,-151.35156,-97.30469000000001,42.960938
1946-05-04,20.335938,30.351562,20.773438,2.359375,26.8125,109.46094,-159.3125,101.21875,-80.21875,-53.351562,-58.3125,-8.34375
1946-05-05,184.96875,126.921875,1.265625,135.66406,-12.1875,57.4375,5.265625,213.67188,-59.734375,11.6484375,-105.484375,131.30469
1946-05-06,186.52344,215.40625,-50.351562,257.90625,-16.25,61.34375,231.79688,211.19531,-60.34375,25.640625,-88.82030999999999,107.890625
1946-05-07,119.0,144.8125,-23.078125,142.07811999999998,15.640625,121.1875,210.26562,131.78906,-84.03905999999999,-22.359375,46.679688,18.429688
1946-05-08,23.398438,23.132812,98.10155999999999,-20.828125,-6.53125,54.976562,13.6640625,12.4453125,3.1875,-7.359375,44.023438,-62.085938
1946-05-09,0.7265625,-71.63280999999999,27.179688,-2.8046875,-95.75,67.69530999999999,-122.02344,11.1640625,-45.679688,34.648438,19.210938,-31.65625
1946-05-10,-25.03125,-99.47655999999999,-59.84375,22.132812,-139.00781,20.359375,-213.80469,18.945312,-80.625,55.664062,23.242188,-53.28125
1946-05-11,-39.859375,-60.398438,-126.953125,-55.023438,-23.3125,17.96875,-249.6875,-29.195312,-26.65625,-88.3125,51.132812,-95.96094000000001
1946-05-12,-68.765625,-84.40625,-54.15625,-47.265625,46.351562,-38.484375,-329.6953,-102.28125,7.234375,-132.27344,-5.1171875,-72.69530999999999
1946-05-13,-13.7421875,-61.492188,-63.4375,-33.609375,7.984375,-46.984375,-300.82812,-98.296875,-28.960938,-42.226562,-91.515625,-81.484375
